Timestamp,Date,Time,Choose Goat Name,Milk Weight,Is this a test day?,Comments
4/10/2025 8:10:11,4/10/2025,8:10: AM,Missy,2.8,No,
4/11/2025 15:27:47,4/11/2025,3:27: PM,Missy,2.7,No,
4/12/2025 8:55:55,4/12/2025,8:55: AM,Missy,2.7,No,
4/13/2025 7:26:26,4/13/2025,7:26: AM,Missy,2.6,No,
4/14/2025 7:34:41,4/14/2025,7:34: AM,Missy,2.6,No,
4/15/2025 9:16:35,4/15/2025,9:16: AM,Missy,3.0,No,
4/15/2025 18:47:49,4/15/2025,6:47: PM,Missy,3.4,No,
4/16/2025 7:08:31,4/16/2025,7:08: AM,Missy,3.4,No,
4/16/2025 7:23:27,4/16/2025,7:23: AM,Katie,3.4,No,
4/16/2025 7:37:58,4/16/2025,7:37: AM,Cocoa,5.1,No,
4/16/2025 8:36:57,4/16/2025,8:36: AM,Patsy,0.6,No,
4/16/2025 18:42:22,4/16/2025,6:42: PM,Missy,3.5,No,
4/16/2025 19:00:35,4/16/2025,7:00: PM,Katie,3.5,No,
4/16/2025 19:30:14,4/16/2025,7:30: PM,Cocoa,4.9,No,
4/16/2025 19:30:25,4/16/2025,7:30: PM,Patsy,0.3,No,
4/17/2025 7:01:00,4/17/2025,7:01: AM,Missy,3.6,No,
4/17/2025 7:07:44,4/17/2025,7:07: AM,Missy,3.7,No,
4/17/2025 7:25:01,4/17/2025,7:25: AM,Katie,3.5,No,
4/17/2025 7:37:59,4/17/2025,7:37: AM,Cocoa,4.7,No,
4/17/2025 7:48:30,4/17/2025,7:48: AM,Patsy,1.0,No,
4/17/2025 18:46:19,4/17/2025,6:46: PM,Missy,3.6,No,
4/17/2025 19:06:56,4/17/2025,7:06: PM,Katie,3.8,No,
4/17/2025 19:07:21,4/17/2025,7:07: PM,Cocoa,4.8,No,
4/17/2025 19:13:29,4/17/2025,7:13: PM,Patsy,1.1,No,
4/18/2025 7:06:30,4/18/2025,7:06: AM,Missy,3.6,No,
4/18/2025 7:23:53,4/18/2025,7:23: AM,Cocoa,3.9,No,
4/18/2025 7:34:50,4/18/2025,7:34: AM,Katie,3.6,No,
4/18/2025 18:47:44,4/18/2025,6:47: PM,Missy,3.6,No,
4/18/2025 19:02:47,4/18/2025,7:02: PM,Katie,3.7,No,
4/18/2025 19:15:17,4/18/2025,7:15: PM,Cocoa,4.0,No,
4/19/2025 6:35:52,4/19/2025,6:35: AM,Katie,4.0,No,
4/19/2025 6:49:51,4/19/2025,6:49: AM,Cocoa,3.8,No,
4/19/2025 7:21:04,4/19/2025,7:21: AM,Missy,3.7,No,
4/19/2025 7:21:48,4/19/2025,7:21: AM,Patsy,1.3,No,
4/19/2025 18:59:06,4/19/2025,6:59: PM,Missy,3.6,No,
4/19/2025 19:15:05,4/19/2025,7:15: PM,Cocoa,3.6,No,
4/19/2025 19:26:48,4/19/2025,7:26: PM,Katie,3.9,No,
4/20/2025 7:11:28,4/20/2025,7:11: AM,Katie,3.8,No,
4/20/2025 7:12:27,4/20/2025,7:12: AM,Cocoa,3.6,No,
4/20/2025 7:49:14,4/20/2025,7:49: AM,Missy,3.5,No,
4/20/2025 7:50:22,4/20/2025,7:50: AM,Patsy,1.3,No,
4/20/2025 19:01:56,4/20/2025,7:01: PM,Cocoa,3.4,No,
4/20/2025 19:13:48,4/20/2025,7:13: PM,Katie,3.6,No,
4/20/2025 19:39:23,4/20/2025,7:39: PM,Missy,3.5,No,
4/21/2025 6:57:31,4/21/2025,6:57: AM,Cocoa,3.3,No,
4/21/2025 7:11:29,4/21/2025,7:11: AM,Katie,3.6,No,
4/21/2025 7:49:41,4/21/2025,7:49: AM,Patsy,1.3,No,
4/21/2025 7:50:22,4/21/2025,7:50: AM,Missy,3.2,No,
4/21/2025 18:39:27,4/21/2025,6:39: PM,Missy,3.2,No,
4/21/2025 18:56:55,4/21/2025,6:56: PM,Cocoa,3.1,No,
4/21/2025 19:06:55,4/21/2025,7:06: PM,Katie,3.8,No,
4/21/2025 19:11:16,4/21/2025,7:11: PM,Patsy,1.1,No,
4/22/2025 6:45:12,4/22/2025,6:45: AM,Katie,3.8,No,
4/22/2025 7:04:45,4/22/2025,7:04: AM,Cocoa,3.0,No,
4/22/2025 7:40:56,4/22/2025,7:40: AM,Patsy,1.5,No,
4/22/2025 7:41:40,4/22/2025,7:41: AM,Missy,3.8,No,
4/22/2025 18:32:43,4/22/2025,6:32: PM,Cocoa,2.8,No,
4/22/2025 18:42:23,4/22/2025,6:42: PM,Katie,3.8,No,
4/23/2025 6:42:47,4/23/2025,6:42: AM,Katie,3.8,No,
4/23/2025 7:03:03,4/23/2025,7:03: AM,Cocoa,2.7,No,
4/23/2025 19:06:58,4/23/2025,7:06: PM,Cocoa,2.6,No,
4/23/2025 19:07:25,4/23/2025,7:07: PM,Katie,3.5,No,
4/23/2025 19:18:50,4/23/2025,7:18: PM,Cocoa,2.4,No,
4/24/2025 8:11:33,4/24/2025,8:11: AM,Cocoa,2.3,No,
4/24/2025 8:12:00,4/24/2025,8:12: AM,Katie,3.3,No,
4/24/2025 8:38:28,4/24/2025,8:38: AM,Patsy,1.8,No,
4/24/2025 8:44:28,4/24/2025,8:44: AM,Missy,3.2,No,
4/24/2025 18:55:47,4/24/2025,6:55: PM,Cocoa,2.1,No,
4/24/2025 19:00:14,4/24/2025,7:00: PM,Katie,3.0,No,
4/24/2025 19:14:47,4/24/2025,7:14: PM,Missy,3.4,No,
4/25/2025 7:40:58,4/25/2025,7:40: AM,Katie,3.0,No,
4/25/2025 8:05:27,4/25/2025,8:05: AM,Cocoa,2.0,No,
4/25/2025 18:25:57,4/25/2025,6:25: PM,Cocoa,1.9,No,
4/25/2025 18:45:20,4/25/2025,6:45: PM,Katie,2.8,No,
4/25/2025 18:47:51,4/25/2025,6:47: PM,Patsy,1.7,No,
4/25/2025 19:02:21,4/25/2025,7:02: PM,Missy,3.4,No,
4/26/2025 7:41:42,4/26/2025,7:41: AM,Katie,2.9,No,
4/26/2025 7:50:41,4/26/2025,7:50: AM,Cocoa,2.2,No,
4/26/2025 8:36:14,4/26/2025,8:36: AM,Patsy,1.6,No,
4/26/2025 8:36:49,4/26/2025,8:36: AM,Patsy,1.6,No,
4/26/2025 18:27:07,4/26/2025,6:27: PM,Katie,2.8,No,
4/26/2025 18:40:10,4/26/2025,6:40: PM,Cocoa,2.4,No,
4/26/2025 19:12:04,4/26/2025,7:12: PM,Missy,3.3,No,
4/27/2025 7:31:28,4/27/2025,7:31: AM,Katie,2.9,Yes,
4/27/2025 7:46:58,4/27/2025,7:46: AM,Patsy,1.9,Yes,
4/27/2025 18:52:33,4/27/2025,6:52: PM,Cocoa,2.4,Yes,
4/27/2025 19:05:32,4/27/2025,7:05: PM,Katie,2.9,Yes,
4/27/2025 19:24:22,4/27/2025,7:24: PM,Patsy,2.1,Yes,
4/27/2025 19:33:55,4/27/2025,7:33: PM,Missy,3.5,Yes,
4/28/2025 7:45:38,4/28/2025,7:45: AM,Katie,2.4,No,
4/28/2025 8:02:50,4/28/2025,8:02: AM,Cocoa,2.3,No,
4/28/2025 8:28:29,4/28/2025,8:28: AM,Patsy,1.5,No,
4/28/2025 18:54:27,4/28/2025,6:54: PM,Cocoa,2.6,No,
4/28/2025 19:01:31,4/28/2025,7:01: PM,Katie,2.6,No,
4/28/2025 19:28:55,4/28/2025,7:28: PM,Patsy,1.6,No,
4/28/2025 19:36:00,4/28/2025,7:36: PM,Katie,2.6,No,
4/28/2025 19:42:43,4/28/2025,7:42: PM,Missy,3.0,No,
4/29/2025 7:15:44,4/29/2025,7:15: AM,Katie,2.3,No,
4/29/2025 7:29:36,4/29/2025,7:29: AM,Cocoa,2.7,No,
4/29/2025 18:42:14,4/29/2025,6:42: PM,Cocoa,2.8,No,
4/29/2025 18:55:56,4/29/2025,6:55: PM,Katie,2.5,No,
4/29/2025 19:04:31,4/29/2025,7:04: PM,Patsy,1.9,No,
4/29/2025 19:25:46,4/29/2025,7:25: PM,Missy,3.2,No,
4/30/2025 7:11:21,4/30/2025,7:11: AM,Katie,2.6,No,
4/30/2025 7:30:46,4/30/2025,7:30: AM,Cocoa,2.9,No,
4/30/2025 7:57:28,4/30/2025,7:57: AM,Patsy,1.4,No,
4/30/2025 8:02:29,4/30/2025,8:02: AM,Missy,3.3,No,
4/30/2025 18:29:49,4/30/2025,6:29: PM,Katie,2.7,No,
4/30/2025 18:54:08,4/30/2025,6:54: PM,Cocoa,3.0,No,
4/30/2025 19:14:19,4/30/2025,7:14: PM,Missy,3.0,No,
5/1/2025 7:07:59,5/1/2025,7:07: AM,Katie,2.5,No,
5/1/2025 7:24:52,5/1/2025,7:24: AM,Cocoa,3.1,No,
5/1/2025 7:51:59,5/1/2025,7:51: AM,Patsy,1.2,No,
5/1/2025 8:02:43,5/1/2025,8:02: AM,Missy,2.6,No,
5/1/2025 18:30:34,5/1/2025,6:30: PM,Cocoa,2.6,No,
5/1/2025 19:08:53,5/1/2025,7:08: PM,Katie,2.5,No,
5/1/2025 19:09:23,5/1/2025,7:09: PM,Patsy,1.9,No,
5/2/2025 7:09:37,5/2/2025,7:09: AM,Missy,2.6,No,
5/2/2025 7:19:08,5/2/2025,7:19: AM,Katie,2.6,No,
5/2/2025 7:34:28,5/2/2025,7:34: AM,Cocoa,2.5,No,
5/2/2025 7:54:35,5/2/2025,7:54: AM,Patsy,1.5,No,
5/2/2025 7:54:57,5/2/2025,7:54: AM,Missy,2.5,No,
5/2/2025 18:36:33,5/2/2025,6:36: PM,Cocoa,2.5,No,
5/2/2025 18:44:05,5/2/2025,6:44: PM,Katie,2.3,No,
5/2/2025 18:56:51,5/2/2025,6:56: PM,Patsy,1.3,No,
5/3/2025 7:07:56,5/3/2025,7:07: AM,Cocoa,2.4,No,
5/3/2025 7:11:38,5/3/2025,7:11: AM,Katie,2.3,No,
5/3/2025 7:47:39,5/3/2025,7:47: AM,Patsy,1.5,No,
5/3/2025 7:48:09,5/3/2025,7:48: AM,Missy,2.6,No,
5/3/2025 18:31:22,5/3/2025,6:31: PM,Missy,2.8,No,
5/3/2025 18:49:23,5/3/2025,6:49: PM,Cocoa,2.4,No,
5/3/2025 18:56:29,5/3/2025,6:56: PM,Katie,2.4,No,
5/3/2025 19:41:19,5/3/2025,7:41: PM,Patsy,1.7,No,
5/4/2025 6:54:52,5/4/2025,6:54: AM,Katie,2.4,No,
5/4/2025 7:15:45,5/4/2025,7:15: AM,Cocoa,2.3,No,
5/4/2025 7:32:57,5/4/2025,7:32: AM,Missy,2.2,No,
5/4/2025 18:39:08,5/4/2025,6:39: PM,Patsy,1.9,No,
5/5/2025 7:05:08,5/5/2025,7:05: AM,Missy,2.5,No,
5/5/2025 7:22:23,5/5/2025,7:22: AM,Katie,2.4,No,
5/5/2025 7:36:36,5/5/2025,7:36: AM,Cocoa,2.3,No,
5/5/2025 18:40:45,5/5/2025,6:40: PM,Cocoa,2.2,No,
5/5/2025 18:41:05,5/5/2025,6:41: PM,Katie,2.4,No,
5/5/2025 19:16:09,5/5/2025,7:16: PM,Patsy,1.8,No,
5/5/2025 19:16:38,5/5/2025,7:16: PM,Missy,2.5,No,
5/6/2025 7:22:20,5/6/2025,7:22: AM,Missy,2.5,No,
5/6/2025 7:39:19,5/6/2025,7:39: AM,Cocoa,2.2,No,
5/6/2025 7:52:01,5/6/2025,7:52: AM,Katie,2.4,No,
5/6/2025 8:17:24,5/6/2025,8:17: AM,Patsy,1.3,No,
5/6/2025 18:29:07,5/6/2025,6:29: PM,Missy,2.6,No,
5/6/2025 18:51:30,5/6/2025,6:51: PM,Cocoa,2.1,No,
5/6/2025 19:45:41,5/6/2025,7:45: PM,Katie,2.4,No,
5/6/2025 19:46:04,5/6/2025,7:46: PM,Patsy,1.7,No,
5/7/2025 7:09:53,5/7/2025,7:09: AM,Missy,2.5,No,
5/7/2025 7:28:16,5/7/2025,7:28: AM,Katie,2.4,No,
5/7/2025 7:42:10,5/7/2025,7:42: AM,Cocoa,2.1,No,
5/7/2025 18:31:10,5/7/2025,6:31: PM,Patsy,1.6,No,
5/7/2025 18:31:28,5/7/2025,6:31: PM,Cocoa,2.2,No,
5/7/2025 18:42:22,5/7/2025,6:42: PM,Katie,2.4,No,
5/7/2025 19:20:32,5/7/2025,7:20: PM,Patsy,1.6,No,
5/7/2025 19:22:28,5/7/2025,7:22: PM,Missy,2.8,No,
5/8/2025 6:55:18,5/8/2025,6:55: AM,Missy,2.6,No,
5/8/2025 18:44:45,5/8/2025,6:44: PM,Missy,2.6,No,
5/8/2025 18:45:10,5/8/2025,6:45: PM,Katie,2.3,No,
5/8/2025 18:45:58,5/8/2025,6:45: PM,Cocoa,2.2,No,
5/8/2025 18:46:26,5/8/2025,6:46: PM,Patsy,1.7,No,
5/8/2025 18:46:51,5/8/2025,6:46: PM,Missy,2.6,No,
5/8/2025 18:58:13,5/8/2025,6:58: PM,Cocoa,2.1,No,
5/8/2025 19:27:42,5/8/2025,7:27: PM,Katie,2.3,No,
5/8/2025 19:28:10,5/8/2025,7:28: PM,Patsy,1.8,No,
5/9/2025 7:35:26,5/9/2025,7:35: AM,Missy,2.5,No,
5/9/2025 7:36:12,5/9/2025,7:36: AM,Katie,2.3,No,
5/9/2025 7:36:38,5/9/2025,7:36: AM,Cocoa,2.2,No,
5/9/2025 18:55:52,5/9/2025,6:55: PM,Cocoa,2.2,No,
5/9/2025 19:03:55,5/9/2025,7:03: PM,Katie,2.2,No,
5/9/2025 19:37:25,5/9/2025,7:37: PM,Patsy,1.8,No,
5/9/2025 19:37:47,5/9/2025,7:37: PM,Missy,2.4,No,
5/10/2025 6:52:31,5/10/2025,6:52: AM,Missy,2.4,No,
5/10/2025 7:14:01,5/10/2025,7:14: AM,Katie,2.1,No,
5/10/2025 7:27:31,5/10/2025,7:27: AM,Cocoa,2.2,No,
5/10/2025 18:41:56,5/10/2025,6:41: PM,Patsy,1.4,No,
5/10/2025 18:42:38,5/10/2025,6:42: PM,Missy,2.7,No,
5/10/2025 18:59:32,5/10/2025,6:59: PM,Katie,2.2,No,
5/11/2025 6:56:13,5/11/2025,6:56: AM,Missy,2.5,No,
5/11/2025 7:13:56,5/11/2025,7:13: AM,Cocoa,2.2,No,
5/11/2025 7:25:32,5/11/2025,7:25: AM,Katie,2.0,No,
5/12/2025 7:57:53,5/12/2025,7:57: AM,Missy,2.5,No,
5/12/2025 7:58:33,5/12/2025,7:58: AM,Cocoa,2.2,No,
5/12/2025 7:59:10,5/12/2025,7:59: AM,Katie,2.1,No,
5/12/2025 7:59:31,5/12/2025,7:59: AM,Patsy,1.7,No,
5/13/2025 8:09:42,5/13/2025,8:09: AM,Missy,2.5,No,
5/13/2025 8:10:05,5/13/2025,8:10: AM,Katie,2.0,No,
5/13/2025 8:10:31,5/13/2025,8:10: AM,Cocoa,2.3,No,
5/13/2025 8:11:02,5/13/2025,8:11: AM,Patsy,1.7,No,
5/13/2025 18:51:04,5/13/2025,6:51: PM,Cocoa,2.3,No,
5/13/2025 18:51:25,5/13/2025,6:51: PM,Katie,1.9,No,
5/13/2025 19:20:33,5/13/2025,7:20: PM,Patsy,1.6,No,
5/13/2025 19:20:53,5/13/2025,7:20: PM,Missy,2.0,No,
5/14/2025 7:19:49,5/14/2025,7:19: AM,Missy,2.3,No,
5/14/2025 7:20:14,5/14/2025,7:20: AM,Katie,1.8,No,
5/14/2025 7:20:52,5/14/2025,7:20: AM,Cocoa,2.3,No,
5/14/2025 7:29:19,5/14/2025,7:29: AM,Patsy,1.5,No,
5/14/2025 18:59:52,5/14/2025,6:59: PM,Missy,2.8,No,
5/14/2025 19:00:15,5/14/2025,7:00: PM,Cocoa,2.3,No,
5/14/2025 19:07:36,5/14/2025,7:07: PM,Katie,1.9,No,
5/14/2025 19:14:04,5/14/2025,7:14: PM,Patsy,1.8,No,
5/15/2025 6:44:35,5/15/2025,6:44: AM,Missy,2.4,No,
5/15/2025 7:02:03,5/15/2025,7:02: AM,Cocoa,2.3,No,
5/15/2025 7:13:45,5/15/2025,7:13: AM,Katie,1.7,No,
5/15/2025 18:48:44,5/15/2025,6:48: PM,Missy,2.4,No,
5/15/2025 18:49:11,5/15/2025,6:49: PM,Cocoa,2.2,No,
5/16/2025 6:51:31,5/16/2025,6:51: AM,Missy,2.4,No,
,5/16/2025,6:51: PM,Missy,2.4,No,
5/16/2025 7:12:25,5/16/2025,7:12: AM,Cocoa,2.3,No,
,5/16/2025,7:12: PM,Cocoa,2.3,No,
5/16/2025 7:25:15,5/16/2025,7:25: AM,Katie,1.7,No,
,5/16/2025,7:25: PM,Katie,1.8,No,
5/16/2025 7:47:55,5/16/2025,7:47: AM,Patsy,1.7,No,
,5/16/2025,7:47: PM,Patsy,1.7,No,
5/17/2025 8:05:39,5/17/2025,8:05: AM,Missy,2.9,No,
,5/17/2025,8:05: PM,Missy,2.9,No,
5/17/2025 8:19:41,5/17/2025,8:19: AM,Cocoa,2.2,No,
,5/17/2025,8:19: PM,Cocoa,2.2,No,
5/17/2025 8:30:01,5/17/2025,8:30: AM,Katie,1.6,No,
,5/17/2025,8:30: PM,Katie,1.5,No,
5/17/2025 8:55:18,5/17/2025,8:55: AM,Patsy,1.7,No,
,5/17/2025,8:55: PM,Patsy,1.9,No,
5/18/2025 8:12:39,5/18/2025,8:12: AM,Missy,3.0,No,
